book_name,pages_num,rating,type
 Rodzina Monet. Skarb , 416 str.," 7,3 ", literatura młodzieżowa 
 Złodziejka listów , 363 str.," 8,1 "," literatura obyczajowa, romans "
 Co wyszeptał nam deszcz , 307 str.," 8,0 "," literatura obyczajowa, romans "
 Nemezis , 448 str.," 8,5 "," kryminał, sensacja, thriller "
 Atlas. Historia Pa Salta , 672 str.," 8,4 ", literatura piękna 
 Langer , 498 str.," 7,4 "," kryminał, sensacja, thriller "
 Gdzie śpiewają raki , 416 str.," 7,9 ", literatura piękna 
 It Ends with Us , 352 str.," 8,3 "," literatura obyczajowa, romans "
 Chłopki. Opowieść o naszych babkach , 496 str.," 8,5 ", reportaż 
 Piękna katastrofa , 384 str.," 7,1 "," literatura obyczajowa, romans "
 Zgłoba , 720 str.," 7,2 "," kryminał, sensacja, thriller "
 For sure not you , 333 str.," 7,8 ", literatura młodzieżowa 
 27 śmierci Toby’ego Obeda , 344 str.," 8,2 ", reportaż 
 Kult , 696 str.," 7,6 "," kryminał, sensacja, thriller "
" Co ze mną nie tak? O życiu w dysfunkcyjnym domu, środowisku, w Polsce i o tym, jak sobie z tym (nie)radzimy. ", 352 str.," 7,8 "," nauki społeczne (psychologia, socjologia, itd.) "
 Pokrzywa i kość , 352 str.," 7,2 "," fantasy, science fiction "
 Nic mnie nie złamie. Zapanuj nad swoim umysłem i pokonaj przeciwności losu , 368 str.," 8,0 ", sport 
 Cudowne lata , 576 str.," 7,7 ", literatura piękna 
 Stoner , 352 str.," 7,8 ", klasyka 
 Człowiek w poszukiwaniu sensu , 224 str.," 7,9 "," biografia, autobiografia, pamiętnik "
 Każde kolejne lato , 336 str.," 8,0 "," literatura obyczajowa, romans "
 Rok 1984 , 352 str.," 8,4 "," fantasy, science fiction "
 Maybe You , 397 str.," 8,1 ", literatura młodzieżowa 
 Szóstka wron , 496 str.," 8,3 "," fantasy, science fiction "
 Gideon z Dziewiątego , 540 str.," 7,8 "," fantasy, science fiction "
 Małe życie , 817 str.," 7,8 ", literatura piękna 
 Kosiarze , 510 str.," 7,9 "," fantasy, science fiction "
 Firefly Lane , 592 str.," 7,5 ", literatura piękna 
 The Inheritance Games , 400 str.," 7,9 ", literatura młodzieżowa 
 Because of you , 430 str.," 7,7 ", literatura młodzieżowa 
 Za granicą , 368 str.," 6,4 "," kryminał, sensacja, thriller "
" To, co zostaje w nas na zawsze ", 640 str.," 7,9 "," literatura obyczajowa, romans "
 Flaw(less). Opowiedz mi naszą historię , 344 str.," 7,9 ", literatura młodzieżowa 
 La Bestia , 408 str.," 8,2 ", reportaż 
 Reina Roja. Czerwona królowa , 543 str.," 7,3 "," kryminał, sensacja, thriller "
 Diuna , 777 str.," 8,2 "," fantasy, science fiction "
" Cieszę się, że moja mama umarła ", 384 str.," 8,0 "," biografia, autobiografia, pamiętnik "
" Babel, czyli o konieczności przemocy ", 763 str.," 7,4 "," fantasy, science fiction "
 Żuchwa Kaina , 216 str.," 8,3 "," kryminał, sensacja, thriller "
 Nieznajomy z samolotu , 479 str.," 7,2 "," literatura obyczajowa, romans "
 Ludzie z mgły , 448 str.," 7,6 "," kryminał, sensacja, thriller "
 Krew i popiół , 512 str.," 7,6 "," fantasy, science fiction "
 Nowy wspaniały świat , 256 str.," 7,7 "," fantasy, science fiction "
 Słońce i gwiazda , 544 str.," 8,3 "," fantasy, science fiction "
 Nieznośna lekkość bytu , 352 str.," 7,9 ", literatura piękna 
 Słowik , 560 str.," 8,3 ", powieść historyczna 
 Niespokojni ludzie , 384 str.," 7,8 ", literatura piękna 
 Pięć ran , 512 str.," 9,0 ", literatura piękna 
 Dwór cierni i róż , 524 str.," 7,7 "," fantasy, science fiction "
 Schron przeciwczasowy , 349 str.," 7,5 ", literatura piękna 
 Stacja , 352 str.," 7,8 "," kryminał, sensacja, thriller "
 Fu#k up , 320 str.," 7,3 "," kryminał, sensacja, thriller "
 Powrót do domu ,," 7,8 "," literatura obyczajowa, romans "
 Jesteś tylko zleceniem , 390 str.," 7,5 "," literatura obyczajowa, romans "
 Love on the Brain , 416 str.," 7,7 "," literatura obyczajowa, romans "
 Kwiaty dla Algernona , 298 str.," 8,3 "," fantasy, science fiction "
 Królowa Charlotta. Opowieść ze świata Bridgertonów. Bridgertonowie. Prequel , 460 str.," 7,1 "," literatura obyczajowa, romans "
 Wiatrołomy , 512 str.," 7,3 "," kryminał, sensacja, thriller "
 Królewna. Część 1 , 448 str.," 7,9 ", literatura młodzieżowa 
 Ocalenie gangstera , 320 str.," 8,0 "," literatura obyczajowa, romans "
 Baśniowa opowieść , 704 str.," 7,3 "," fantasy, science fiction "
 Shantaram , 800 str.," 7,7 ", literatura piękna 
 Fatum , 336 str.," 7,6 "," kryminał, sensacja, thriller "
 Droga Królów , 1136 str.," 8,8 "," fantasy, science fiction "
 Sługa cesarstwa , 535 str.," 8,0 "," fantasy, science fiction "
" Odwaga bycia nielubianym. Japoński fenomen, który pokazuje jak być wolnym i odmienić własne życie ", 264 str.," 7,4 "," filozofia, etyka "
 Dyrektorka generalna , 368 str.," 7,4 "," literatura obyczajowa, romans "
 Katharsis , 576 str.," 8,3 "," kryminał, sensacja, thriller "
 Marriage for One , 496 str.," 8,0 "," literatura obyczajowa, romans "
 Chołod , 416 str.," 7,4 ", powieść historyczna 
 Los , 432 str.," 7,5 ", literatura piękna 
 Anomalia , 380 str.," 7,2 ", literatura piękna 
 Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem , 698 str.," 7,3 ", popularnonaukowa 
 Dotknij mnie ,," 7,6 "," fantasy, science fiction "
 Przędza. W poszukiwaniu wewnętrznej wolności , 272 str.," 7,1 "," nauki społeczne (psychologia, socjologia, itd.) "
 Wielki krąg , 768 str.," 8,0 ", literatura piękna 
 Układ , 461 str.," 7,8 "," kryminał, sensacja, thriller "
 Muchomory w cukrze ,," 7,2 ", literatura młodzieżowa 
 Przegrana , 360 str.," 7,5 "," kryminał, sensacja, thriller "
 Życie Violette , 480 str.," 7,8 ", literatura piękna 
 Mężczyzna imieniem Ove , 352 str.," 8,4 ", literatura piękna 
 Urwisko , 480 str.," 7,8 "," kryminał, sensacja, thriller "
 Siedem sióstr , 544 str.," 7,6 "," literatura obyczajowa, romans "
" Schronisko, które przestało istnieć ", 368 str.," 7,2 "," kryminał, sensacja, thriller "
 Schronisko które przetrwało , 448 str.," 8,0 "," kryminał, sensacja, thriller "
 Gdyby był ze mną ,," 8,0 ", literatura młodzieżowa 
 Perełka. Część 1 , 480 str.," 7,8 ", literatura młodzieżowa 
 Dunbridge Academy. Tam gdzie ty , 440 str.," 7,9 ", literatura młodzieżowa 
 Sąsiednie kolory , 252 str.," 7,3 ", literatura piękna 
" Jutro, jutro i znów jutro ", 512 str.," 7,8 ", literatura piękna 
" Nie pozdrawiam, Ethan ", 300 str.," 7,2 "," literatura obyczajowa, romans "
 Pułapki myślenia. O myśleniu szybkim i wolnym , 667 str.," 8,0 "," nauki społeczne (psychologia, socjologia, itd.) "
 Perełka ,," 7,9 ", literatura młodzieżowa 
 Cień wiatru , 520 str.," 8,1 ", literatura piękna 
 Młody Mungo , 443 str.," 7,8 ", literatura piękna 
 Gry. Seria Twisted ,," 7,4 "," literatura obyczajowa, romans "
 Ballada ptaków i węży , 544 str.," 7,6 "," fantasy, science fiction "
 Siedmiu mężów Evelyn Hugo , 536 str.," 8,0 "," literatura obyczajowa, romans "
 Dar anomalii. Księga 1 , 340 str.," 7,7 "," fantasy, science fiction "
 Sydonia. Słowo się rzekło , 584 str.," 7,8 ", powieść historyczna 
 Zabić drozda , 424 str.," 8,1 ", literatura piękna 
 Michał Koterski. To już moje ostatnie życie , 350 str.," 7,3 "," biografia, autobiografia, pamiętnik "
 Florystki , 352 str.," 7,7 "," kryminał, sensacja, thriller "
 Wojna makowa , 640 str.," 7,6 "," fantasy, science fiction "
 Tak właśnie przegrywasz Wojnę Czasu , 192 str.," 7,1 "," fantasy, science fiction "
 Wrony , 184 str.," 8,1 ", literatura piękna 
 11 papierowych serc , 288 str.," 7,6 ", literatura młodzieżowa 
 Aktoreczka , 492 str.," 7,8 ", powieść historyczna 
 Mistrz i Małgorzata , 544 str.," 8,4 ", klasyka 
 Wybrana ,," 7,6 "," kryminał, sensacja, thriller "
 Secretum , 316 str.," 7,7 "," kryminał, sensacja, thriller "
 Ta dziewczyna , 512 str.," 7,3 "," kryminał, sensacja, thriller "
 Słoneczny Gon , 542 str.," 7,9 "," fantasy, science fiction "
" Atomowe nawyki. Drobne zmiany, niezwykłe efekty ", 285 str.," 7,9 ", poradniki 
 Extinguish the Heat. Runda piąta ,," 8,5 "," literatura obyczajowa, romans "
 Silos , 650 str.," 7,3 "," fantasy, science fiction "
" Światło, którego nie widać ", 656 str.," 7,8 ", powieść historyczna 
 Mentalista , 680 str.," 7,1 "," kryminał, sensacja, thriller "
 Start a fire. Runda pierwsza , 608 str.," 7,1 ", literatura młodzieżowa 
 Prezydent. Aleksander Kwaśniewski w rozmowie z Aleksandrem Kaczorowskim , 448 str.," 7,5 "," biografia, autobiografia, pamiętnik "
 Samotnia , 368 str.," 7,3 "," kryminał, sensacja, thriller "
 Lekcje chemii , 462 str.," 8,0 "," literatura obyczajowa, romans "
 Okrutny książę , 423 str.," 7,4 "," fantasy, science fiction "
 Szczelina , 412 str.," 7,3 ", horror 
 Następca tronu. Opowieść z Elfhame , 400 str.," 7,7 "," fantasy, science fiction "
 Noce zarazy , 800 str.," 8,0 ", literatura piękna 
 Empuzjon , 391 str.," 7,2 ", literatura piękna 
 Hyperion , 518 str.," 8,2 "," fantasy, science fiction "
 Sto lat samotności , 400 str.," 7,8 ", klasyka 
 Mordercze instynkty , 336 str.," 7,4 "," kryminał, sensacja, thriller "
